time,species,predictor,df,aic,r2,delta_aic,lklhd,weight
Entire Exp,predator,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,10702.7784,0.085111362,0,1,0.461165839
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,10703.26748,0.085278294,0.48907513,0.783066572,0.361123553
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,10704.73934,0.085336638,1.960937559,0.375135202,0.17299954
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,10713.01832,0.083979214,10.23991772,0.005976269,0.002756051
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,10713.70512,0.083681924,10.92671753,0.004239293,0.001955017
,prey,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,7858.163894,0.003643525,0,1,0.353577105
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,7858.24584,0.003874304,0.081945825,0.95985513,0.339382798
,,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,7860.071563,0.003654636,1.907668466,0.385261007,0.136219472
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,7860.245578,0.003874335,2.081683815,0.353157231,0.124868311
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,7862.244889,0.003874418,4.080994747,0.129964054,0.045952314
Phase 1,predator,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,3945.824363,0.023592837,0,1,0.529443698
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,3947.324276,0.023740792,1.499913086,0.472387081,0.250102363
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,3948.631284,0.023945782,2.806920381,0.245745166,0.130108229
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,3950.563476,0.022189616,4.739112676,0.093522209,0.049514744
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,3950.949135,0.021482475,5.12477212,0.077120507,0.040830966
,prey,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,463.2076692,0.031683705,0,1,0.635056422
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,465.1886525,0.031689285,1.980983326,0.371394045,0.235856174
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,466.688573,0.031836011,3.480903817,0.175441099,0.111414997
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,471.0224313,0.02879948,7.814762171,0.020093054,0.012760223
,,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,472.9316594,0.028826195,9.723990253,0.007735036,0.004912184
Phase 2,predator,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,472.9316594,0.028826195,0,1,1
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),2,2301.132696,0.365462966,1828.201036,0,0
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,2304.045952,0.365743221,1831.114292,0,0
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,2308.644661,0.363004682,1835.713002,0,0
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,2309.189816,0.36338129,1836.258157,0,0
,prey,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,943.2946983,0.01903625,0,1,0.509564372
,,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,945.1596412,0.019090105,1.864942926,0.393579789,0.200554238
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,945.2915104,0.019037522,1.996812064,0.368466297,0.187757297
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,947.1596298,0.01909011,3.864931436,0.144790745,0.073780205
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,949.0729879,0.019124657,5.778289602,0.055623762,0.028343887
Phase 3,predator,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,1016.62764,0.234662363,0,1,0.395608706
,,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,1017.027722,0.233896616,0.400081362,0.818697447,0.323883838
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,1018.541552,0.234689815,1.913912039,0.38406018,0.151937551
,,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,1019.573536,0.233083536,2.945895507,0.229248719,0.090692789
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,1021.319797,0.231885489,4.692156989,0.095743887,0.037877115
,prey,occupancy ~ structure + (1|rep) + adjacency(1|bottle.number),2,3226.747018,0.032568851,0,1,0.578484593
,,occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number),3,3228.635159,0.03261394,1.888140924,0.389041031,0.225054243
,,occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number),4,3230.633789,0.032614492,3.886770847,0.143218274,0.082849565
,,occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number),1,3230.773148,0.030136688,4.026129821,0.13357864,0.077273185
,,occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number),2,3232.282091,0.030335109,5.535073,0.062816563,0.036338414